candidate,is_current_best,inserted_rank,AG,CC,EN,MI,MSE,Nabf,PSNR,Qabf,SCD,SD,SF,SSIM,VIF
33_mix_avg21_45,,24.076923076923077,4.373863660301051,0.6304270625114441,6.9533565199463245,1.0351134200741303,0.10134317686647984,0.005255831207129574,59.006449728268834,0.49079858033602586,1.6852812767028809,39.319149887077145,6.229716997287019,0.7667972721079345,0.7802452029391483
12_avg_raw,,24.692307692307693,3.4725561102811895,0.6365068554878235,6.450237799426642,1.2450584790252706,0.08257339347649531,9.53825764533275e-07,60.10965408140317,0.3757774294353141,1.3520758152008057,28.642796825667403,5.303672616840468,0.788936286844233,0.7776406214253719
18_low_artifact_color,,24.923076923076923,6.944605889257474,0.6405827403068542,7.413902456632257,1.090672315946644,0.1663974262316129,0.09110329248293939,56.450637991210144,0.4448233607494475,1.740418791770935,52.48627564530631,8.173334875500165,0.6387649623937505,0.7072227642602318
28_raw_weight_ir30,,27.76923076923077,3.5759049867460444,0.5901923775672913,6.566098477082775,0.963631337533249,0.09528594819029394,2.4143064811988677e-06,59.504017772121834,0.4526756499175016,1.3520715236663818,32.657187044576226,5.38627260536672,0.7862639722003731,0.8376492850710723
21_crossblend_35_color,,27.923076923076923,5.604852981434215,0.6067955493927002,7.407475391387909,0.9674386280186177,0.17507720635730992,0.040002462583947886,56.418290541874825,0.48396480998174163,1.6875871419906616,54.866591169829846,7.222579001251671,0.6805407629218153,0.7878169121643595
25_avg_anchor_detail,,30.615384615384617,5.74404696752074,0.6079694628715515,6.954431934535926,0.885336052236495,0.10946264717338622,0.04774837819191719,58.65851534487164,0.3484260233645259,1.5555319786071777,40.97443904360632,7.02066309373495,0.6956809387412123,0.6048674725294988
19_vi_anchor_safe_qabf,,31.153846153846153,4.383601920759666,0.5608149170875549,6.723063949874934,0.7000434156948826,0.1321995857763022,0.022713887041718235,58.217527801035615,0.5316237790887319,1.4000366926193237,36.123609775953,5.9966995571706585,0.7431094114498425,0.8840160892221685
02_leader_struct_balanced,,31.307692307692307,2.1550401758592708,0.6382681131362915,7.022373664109413,1.0045477910905942,0.13648659342951142,0.012603194703533202,57.7193868617725,0.16055589350879748,1.6337388753890991,44.89342056062419,3.775477246869767,0.6776785283319412,0.5899435946707777
21_avg_anchor_std18,,31.307692307692307,5.118457723434634,0.6065202355384827,6.91517567764063,0.8792587010989642,0.1081693267641982,0.034580082591219356,58.73667914169857,0.3404226482001151,1.5192698240280151,39.58367190687468,6.62653507560446,0.7027542597504073,0.5819832186572961
11_vi_only,,32.46153846153846,4.2016687964233865,0.47479501366615295,6.743252895687444,0.6383203298311042,0.16256175616760554,0.0027143659217163042,57.21447354392834,0.5668075514624685,0.7549019455909729,44.53899350310728,5.850770454807576,0.7473446034616039,1.06284884634827
16_vi_anchor_low52,,32.61538461538461,4.873502371100927,0.6099663376808167,6.795206223038645,0.7601579384232967,0.12547392246328878,0.03747866282275446,58.38418240727603,0.4959241077549407,1.4313948154449463,35.09397666367956,6.388632448706874,0.7169646345159059,0.7443269028718312
03_rankpoints_detail_rank,yes,22.3077,5.6335,0.6254,7.0889,1.0298,0.1182,0.0263,58.4742,0.5334,1.7112,44.0885,7.1813,0.7435,0.8090
