candidate,path,method,Objective,PredInsertedRank,Penalty,SourceCount,TopSources,ValidationProblems,AG,CC,EN,MI,MSE,Nabf,PSNR,Qabf,SCD,SD,SF,SSIM,VIF,Pred_AG,Pred_CC,Pred_EN,Pred_MI,Pred_MSE,Pred_Nabf,Pred_PSNR,Pred_Qabf,Pred_SCD,Pred_SD,Pred_SF,Pred_SSIM,Pred_VIF,Pred_R_AG,Pred_R_CC,Pred_R_EN,Pred_R_MI,Pred_R_MSE,Pred_R_Nabf,Pred_R_PSNR,Pred_R_Qabf,Pred_R_SCD,Pred_R_SD,Pred_R_SF,Pred_R_SSIM,Pred_R_VIF
r11_07_cddfuse_blend,results\candidates_round11\r11_07_cddfuse_blend,deep_cddfuse_or_fallback_blend,22.581936682840517,21.846153846153847,0.7357828366866704,25,"[[""04_rankpoints_detail_balanced"", 21], [""05_thermal"", 14], [""22_avg_anchor_std19"", 7], [""09_b_ir060_soft"", 6], [""02_rankpoints_balanced_balanced"", 5], [""11_fixed_02_micro_edge_balanced43_balanced"", 4], [""11_project_leader_mix2"", 4], [""09_r4_r7mix2_target"", 4], [""12_project_leader_vif"", 3], [""07_b_ir040_detail090"", 3]]",0,0.025224893874618955,0.6183025689318885,7.170927500562622,2.916896460006192,0.04236326317029995,0.12491175757660981,18.501823041101783,0.6535181023420826,1.7157302230272626,0.18094181453668942,0.05545160943526332,0.659022160315065,0.6242231914378396,6.5156351986613545,0.6183029382419986,7.170922336895771,0.9587597407654873,0.128078719410923,0.04131425552846937,58.705898059466556,0.5574818850300205,1.7157396596485515,46.14047849708037,7.593008348298111,0.7177156201846867,0.7639634091800023,8,8,9,41,28,39,15,27,9,19,11,37,33
r11_02_attack_qabf,results\candidates_round11\r11_02_attack_qabf,coordinate_attack_qabf,22.119983710438724,21.923076923076923,0.19690678736179912,36,"[[""04_rankpoints_detail_balanced"", 8], [""09_rankpoints_safe_qabf_safe"", 7], [""09_b_ir060_soft"", 7], [""05_thermal"", 7], [""08_rankpoints_safe_qabf_detail"", 5], [""07_rankpoints_safe_qabf_balanced"", 4], [""02_rankpoints_balanced_balanced"", 4], [""11_project_leader_mix2"", 4], [""12_mi_color"", 4], [""17_fixed_18_source_pick_s450_balanced"", 3]]",0,0.023271949240757574,0.618220071578893,7.118193592024087,2.9586901487665793,0.041440659499306594,0.090455908022861,18.64350727932564,0.6744852181403868,1.7148760014444533,0.17503915839297798,0.051771993004530815,0.6792683357833534,0.624100436733416,6.034702341771504,0.6182204401588556,7.118188868593495,0.9587597407654873,0.1253414794708862,0.029587913604891963,58.705898059466556,0.5902369741699811,1.7148854471517452,44.63510430719847,7.2483442501214785,0.7361717651710888,0.7639634091800023,21,8,16,41,28,32,15,9,9,20,25,28,33
r11_04_flir_boost,results\candidates_round11\r11_04_flir_boost,group_flir_boost,22.377661919135317,22.0,0.3776619191353169,33,"[[""05_thermal"", 12], [""04_rankpoints_detail_balanced"", 9], [""07_b_ir040_detail090"", 7], [""11_project_leader_mix2"", 7], [""09_b_ir060_soft"", 6], [""24_balanced_cross_20"", 5], [""12_project_leader_vif"", 5], [""09_r4_r7mix2_target"", 5], [""10_project_leader_mix1"", 4], [""02_rankpoints_balanced_balanced"", 3]]",0,0.024908412658479265,0.6177350056919736,7.194114822471098,2.840655149064279,0.04340449894461731,0.13763280751143572,17.493104887757152,0.6468614269328373,1.7352811021220964,0.18408986453407555,0.055633081795746844,0.6600464666562695,0.6266085715004466,6.437698419097312,0.6177353699788332,7.194109465230513,0.9587597407654873,0.13116792470899874,0.0456436040453293,58.705898059466556,0.5470827438938204,1.7352903307887444,46.943336244362754,7.610006589459239,0.7186493642576541,0.7639634091800023,10,8,6,41,30,40,15,28,8,19,11,37,33
r11_10_beam_best,results\candidates_round11\r11_10_beam_best,beam_coordinate_descent,23.747255232895736,22.153846153846153,1.5934090790495818,21,"[[""04_rankpoints_detail_balanced"", 62], [""05_rankpoints_detail_detail"", 5], [""02_rankpoints_balanced_balanced"", 4], [""09_b_ir060_soft"", 3], [""10_r4_r7mix3_ag"", 2], [""04_r4_r7struct_w45"", 2], [""11_source_edge_broad_detail"", 1], [""08_rankpoints_safe_qabf_detail"", 1], [""08_source_edge_vi042_ir008"", 1], [""17_fixed_18_source_pick_s450_balanced"", 1]]",0,0.022272219280562094,0.6176223359953703,7.117608301567916,3.173293628292606,0.041692807141350964,0.08098243564988176,20.23387658717381,0.6743032086280084,1.7084233464580398,0.1786540108182097,0.05004644838462979,0.6832401322260979,0.6287179022420999,5.788508477624653,0.6176226992850415,7.117603583023483,0.9587597407654873,0.1260895673208367,0.02636381152388459,58.705898059466556,0.5899526366454679,1.7084328607995631,45.55701224299673,7.08671509896473,0.7397924021214398,0.7639634091800023,26,8,16,41,28,29,15,9,10,20,29,24,33
r11_06_deep_crossfuse_blend,results\candidates_round11\r11_06_deep_crossfuse_blend,deep_crossfuse_blend,24.4783736260045,22.23076923076923,2.2476043952352702,28,"[[""04_rankpoints_detail_balanced"", 17], [""05_thermal"", 11], [""22_avg_anchor_std19"", 8], [""11_fixed_02_micro_edge_balanced43_balanced"", 7], [""11_project_leader_mix2"", 5], [""09_b_ir060_soft"", 5], [""38_mix33_std50"", 4], [""11_fixed_04_micro_edge_broad44_balanced"", 4], [""02_rankpoints_balanced_balanced"", 3], [""07_b_ir040_detail090"", 3]]",0,0.02490542540627141,0.6182193428317321,7.160131385618261,2.9653102511889866,0.042556887441214615,0.1192992400297875,18.81912038408936,0.6540558317335703,1.7107937673100637,0.1816986542074911,0.05480718983324291,0.6616046119441268,0.6249124087981993,6.4369627772805025,0.618219711405245,7.160126312080154,0.9587597407654873,0.12865317635746593,0.03940415025872551,58.705898059466556,0.5583219325749855,1.710803256438398,46.33349785625775,7.532646540169786,0.7200697488328844,0.7639634091800023,10,8,11,41,28,37,15,27,10,19,13,37,33
r11_03_attack_mi,results\candidates_round11\r11_03_attack_mi,coordinate_attack_mi,26.036118627973874,23.076923076923077,2.9591955510507963,38,"[[""04_rankpoints_detail_balanced"", 14], [""09_b_ir060_soft"", 9], [""18_deep_aux_30"", 6], [""02_rankpoints_balanced_balanced"", 4], [""38_mix33_std50"", 4], [""07_r4_r7struct_detail_w38"", 4], [""17_fixed_18_source_pick_s450_balanced"", 3], [""33_mix_avg21_45"", 3], [""09_rankpoints_safe_qabf_safe"", 2], [""06_rankpoints_safe_qabf_balanced"", 2]]",0,0.02241433208547933,0.6102868740486109,7.160034640444307,3.291284681735127,0.04500703925394543,0.08532853458096744,20.500238831506937,0.6732566065044814,1.6998877687284148,0.18190936239496355,0.05028766582400418,0.6786771451914182,0.6251521591048976,5.823505228727803,0.6102871724153718,7.160029567713863,0.9587597407654873,0.13592244442111862,0.027842917184016533,58.705898059466556,0.588317621787918,1.699897373859361,46.387235471882825,7.109309571179837,0.7356328436697692,0.7639634091800023,26,12,11,41,35,30,15,9,12,19,29,28,33
r11_09_anneal_best,results\candidates_round11\r11_09_anneal_best,simulated_annealing,24.00958913641074,23.076923076923077,0.9326660594876626,39,"[[""02_rankpoints_balanced_balanced"", 8], [""03_rankpoints_detail_rank"", 7], [""19_fixed_18_source_pick_s450_safe"", 6], [""01_rankpoints_balanced_rank"", 6], [""11_source_edge_broad_detail"", 4], [""17_fixed_18_source_pick_s450_safe"", 4], [""11_project_leader_mix2"", 4], [""05_rankpoints_detail_detail"", 4], [""18_source_pick_s450"", 3], [""04_rankpoints_detail_balanced"", 3]]",0,0.023127495461413936,0.6195879596485777,7.101737832717883,2.916214051532682,0.040613216281648205,0.1009159388761687,18.37875712593637,0.661007547570813,1.7162844230167331,0.17490170743837152,0.05203680808868074,0.6847745683244479,0.6301231421680202,5.99912910145341,0.6195883403351085,7.101733246664215,0.9587597407654873,0.12288656768731533,0.033147770636590405,58.705898059466556,0.5691819895382311,1.7162938537432264,44.60004972932679,7.273149077983355,0.7411911737140253,0.7639634091800023,23,8,17,41,28,34,15,24,9,21,24,23,33
r11_08_groupwise_best,results\candidates_round11\r11_08_groupwise_best,group_aware_selector,25.098409353955976,23.53846153846154,1.5599478154944357,34,"[[""04_rankpoints_detail_balanced"", 8], [""05_thermal"", 7], [""12_project_leader_vif"", 6], [""07_b_ir040_detail090"", 6], [""11_project_leader_mix2"", 6], [""09_r4_r7mix2_target"", 5], [""07_r4_r7struct_detail_w38"", 5], [""09_b_ir060_soft"", 5], [""11_fixed_04_micro_edge_broad44_balanced"", 4], [""09_fixed_04_micro_edge_broad44_balanced"", 4]]",0,0.023966886553793185,0.6177680541369942,7.125528368378597,2.8448759080072716,0.04162368669784227,0.11967331275684379,17.874839369904556,0.6502646066809213,1.7184632596824776,0.17662754578776257,0.05345747456847358,0.6727647786178896,0.6281532464577957,6.205837857608813,0.6177684187163516,7.125523583715404,0.9587597407654873,0.12588449634118046,0.03953145824150809,58.705898059466556,0.5523992336332826,1.7184726672335822,45.04019607087675,7.406220755503327,0.7302432087303351,0.7639634091800023,16,8,16,41,28,37,15,28,9,20,20,35,33
r11_01_safe_rank,results\candidates_round11\r11_01_safe_rank,coordinate_safe_rank,24.92012689016235,23.692307692307693,1.2278191978546562,37,"[[""04_rankpoints_detail_balanced"", 10], [""11_project_leader_mix2"", 7], [""07_rankpoints_safe_qabf_balanced"", 7], [""07_b_ir040_detail090"", 6], [""09_rankpoints_safe_qabf_safe"", 6], [""12_project_leader_vif"", 5], [""24_balanced_cross_20"", 4], [""03_rankpoints_detail_rank"", 4], [""02_rankpoints_balanced_balanced"", 3], [""18_deep_aux_30"", 2]]",0,0.023248091750648073,0.6202066887499722,7.1175462182867975,2.8397623089175945,0.040482086407068255,0.1125203453314801,17.96207887234814,0.6413328955250401,1.7149495852972452,0.1749562045098633,0.051755214577814554,0.6800222934413982,0.6289549393339174,6.0288271875671064,0.6202070749125994,7.117541500260653,0.9587597407654873,0.12249752313729116,0.03709709244050873,58.705898059466556,0.5384460033512748,1.7149590302218571,44.61394830021603,7.246772640302401,0.7368590629707289,0.7639634091800023,21,8,16,41,28,37,15,28,9,20,25,27,33
r11_05_night_boost,results\candidates_round11\r11_05_night_boost,group_night_boost,25.025049353479314,23.692307692307693,1.3327416611716216,37,"[[""04_rankpoints_detail_balanced"", 10], [""11_project_leader_mix2"", 7], [""07_rankpoints_safe_qabf_balanced"", 7], [""07_b_ir040_detail090"", 6], [""09_rankpoints_safe_qabf_safe"", 6], [""12_project_leader_vif"", 5], [""24_balanced_cross_20"", 4], [""03_rankpoints_detail_rank"", 4], [""18_deep_aux_30"", 2], [""10_project_leader_mix1"", 2]]",0,0.02326075096804929,0.6201962961583994,7.117604315190103,2.8391007477083368,0.04048521377951137,0.11287238622604999,17.961335970759364,0.64123543231718,1.7151376587343772,0.17498194602548436,0.051788549502540554,0.6798899028730648,0.628944938924596,6.0319446510554195,0.6201966822290464,7.117599596678951,0.9587597407654873,0.12250680162709972,0.037216902340838375,58.705898059466556,0.5382937451154715,1.715147101658529,44.62051324526466,7.249895072214736,0.7367383774848301,0.7639634091800023,21,8,16,41,28,37,15,28,9,20,25,27,33
